Place,pH,pH (Cls) ,EC,EC (Cls) ,OC,OC (Cls) ,N,N (Cls) ,P,P (Cls) ,K,K( Cls) ,S,S (Cls) ,Zn,Zn (Cls) ,Fe,Fe (Cls) ,Cu,Cu( Cls) ,Mn,Mn (Cls) ,B,B( C ls) ,Suitable crop
coonoor,5.000, HAc,0.170,N   ,0.840,H ,221.000,L ,67.000,H ,327.000,M ,13.000,S,0.820,S,8.640,S,0.640,S,3.400,S,0.200,D,potato
coonoor,5.000, HAc,0.170,N   ,0.840,H ,249.000,L ,168.000,VH,216.000,M ,5.000,D,0.680,S,14.320,S,0.750,S,2.980,S,0.200,D,potato
coonoor,5.400, HAc,0.120,N   ,0.360,L ,180.000,L ,138.000,VH,469.000,H ,13.000,S,0.390,D,8.640,S,0.640,S,3.400,S,0.200,D,potato
coonoor,5.100, HAc,0.210,N   ,0.420,L ,221.000,L ,81.000,H ,531.000,H ,5.000,D,0.400,D,15.140,S,0.970,S,8.140,S,0.200,D,potato
coonoor,5.300, HAc,0.170,N   ,1.140,VH,200.000,L ,128.000,VH,228.000,M ,5.000,D,0.630,S,3.960,D,0.660,S,8.680,S,0.200,D,potato
coonoor,5.400, HAc,0.160,N   ,1.380,VH,311.000,M ,84.000,H ,382.000,H ,130.863,S,0.200,D,9.320,S,,,0.980,D,4.650,S,potato
coonoor,5.100, HAc,0.250,N   ,0.480,L ,294.000,M ,81.000,H ,531.000,H ,5.000,D,0.400,D,14.370,S,0.850,S,1.960,D,0.500,D,potato
coonoor,5.300, HAc,0.210,N   ,0.420,L ,221.000,L ,94.000,VH,642.000,H ,5.000,D,0.470,D,15.140,S,0.970,S,8.140,S,0.200,D,potato
coonoor,4.900, HAc,0.150,N   ,0.300,L ,214.000,L ,68.000,H ,302.000,M ,5.000,D,2.320,S,15.860,S,2.160,S,10.280,S,0.500,D,potato
coonoor,5.200, HAc,0.080,N   ,0.480,L ,207.000,L ,228.000,VH,392.000,H ,13.000,S,0.380,D,7.560,S,0.680,S,3.470,S,0.200,D,potato
coonoor,4.800, HAc,0.180,N   ,1.080,VH,159.000,L ,153.000,VH,333.000,M ,5.000,D,0.480,D,16.340,S,0.870,S,8.320,S,0.200,D,potato
coonoor,5.300, HAc,0.150,N   ,0.240,VL,294.000,M ,109.000,VH,284.000,M ,5.000,D,1.270,S,15.610,S,0.790,S,9.260,S,0.500,D,potato
coonoor,5.200, HAc,0.130,N   ,0.360,L ,290.000,M ,39.000,M ,432.000,H ,13.000,S,0.770,S,7.940,S,0.920,S,3.470,S,0.200,D,potato
coonoor,5.200, HAc,0.130,N   ,0.360,L ,290.000,M ,94.000,VH,179.000,M ,13.000,S,2.320,S,15.960,S,0.700,S,3.920,S,0.500,D,potato
coonoor,4.800, HAc,0.210,N   ,0.840,H ,183.000,L ,94.000,VH,561.000,H ,5.000,D,0.920,S,14.380,S,2.140,S,4.470,S,0.200,D,potato
coonoor,4.800, HAc,0.170,N   ,0.780,H ,294.000,M ,109.000,VH,228.000,M ,13.000,S,1.270,S,14.380,S,2.140,S,4.470,S,0.500,D,potato
coonoor,5.400, HAc,0.200,N   ,1.200,VH,176.000,L ,109.000,VH,383.000,H ,5.000,D,0.640,S,3.960,D,2.230,S,3.960,S,0.200,D,potato
coonoor,5.300, HAc,0.440,N   ,1.750,VH,428.700,M ,59.000,H ,272.000,M ,12.500,S,0.520,D,10.140,S,1.320,S,0.140,D,0.200,D,potato
coonoor,5.200, HAc,0.430,N   ,1.350,VH,148.600,L ,59.000,H ,371.000,H ,12.500,S,0.840,S,9.040,S,1.320,S,0.240,D,0.200,D,potato
coonoor,5.200, HAc,0.430,N   ,1.350,VH,414.400,M ,59.000,H ,371.000,H ,13.000,S,0.380,D,10.140,S,2.240,S,0.280,D,0.200,D,potato
coonoor,5.200, HAc,0.340,N   ,1.350,VH,414.400,M ,12.000,L ,371.000,H ,13.000,S,0.380,D,10.140,S,2.240,S,0.260,D,0.200,D,potato
coonoor,5.400, HAc,0.080,N   ,0.630,M ,290.000,M ,160.000,VH,407.000,H ,5.000,D,0.820,S,11.000,S,0.980,S,6.820,S,0.900,S,potato
coonoor,5.200, HAc,0.160,N   ,0.270,L ,287.000,M ,167.000,VH,395.000,H ,5.000,D,0.960,S,15.000,S,1.080,S,4.140,S,0.900,S,potato
coonoor,4.800, HAc,0.050,N   ,0.600,M ,331.000,M ,192.000,VH,469.000,H ,5.000,D,0.880,S,12.000,S,1.020,S,3.680,S,0.200,D,potato
coonoor,4.800, HAc,0.050,N   ,1.500,VH,304.000,M ,192.000,VH,432.000,H ,5.000,D,1.280,S,12.000,S,1.220,S,3.680,S,0.200,D,potato
coonoor,4.800, HAc,0.050,N   ,0.480,L ,307.000,M ,192.000,VH,481.000,H ,5.000,D,0.680,S,12.000,S,0.560,S,6.880,S,0.200,D,potato
coonoor,4.800, HAc,0.050,N   ,0.450,L ,307.000,M ,182.000,VH,512.000,H ,5.000,D,0.890,S,12.000,S,2.220,S,5.660,S,0.200,D,potato
coonoor,5.200, HAc,0.340,N   ,0.730,M ,456.000,M ,74.000,H ,506.000,H ,5.000,D,0.820,S,16.100,S,0.960,S,6.720,S,0.500,D,potato
coonoor,5.000, HAc,0.140,N   ,0.800,H ,328.000,M ,78.000,H ,432.000,H ,5.000,D,0.880,S,18.200,S,0.840,S,6.600,S,0.500,D,potato
coonoor,5.000, HAc,0.096,N   ,0.730,M ,276.000,L ,81.000,H ,932.000,VH,5.000,D,0.840,S,18.220,S,0.960,S,9.900,S,0.200,D,potato
coonoor,5.200, HAc,0.230,N   ,0.860,H ,193.000,L ,84.000,H ,271.000,M ,5.000,D,0.840,S,16.100,S,0.940,S,10.240,S,0.500,D,potato
coonoor,5.400, HAc,0.160,N   ,0.860,H ,193.000,L ,90.000,H ,296.000,M ,5.000,D,0.960,S,16.240,S,1.140,S,4.960,S,0.200,D,potato
coonoor,5.200, HAc,0.290,N   ,0.520,M ,155.000,L ,52.000,M ,617.000,H ,5.000,D,1.080,S,16.960,S,2.080,S,6.720,S,0.200,D,potato
coonoor,5.200, HAc,0.200,N   ,0.730,M ,276.000,L ,78.000,H ,753.000,VH,0.200,D,1.160,S,17.220,S,0.840,S,5.940,S,0.200,D,potato
coonoor,5.000, HAc,0.520,N   ,0.730,M ,242.000,L ,84.000,H ,753.000,VH,5.000,D,0.960,S,15.100,S,1.560,S,6.640,S,0.200,D,potato
coonoor,5.200, HAc,0.360,N   ,0.520,M ,242.000,L ,96.000,VH,358.000,H ,0.500,D,0.980,S,15.180,S,0.880,S,6.100,S,0.200,D,potato
coonoor,5.000, HAc,0.480,N   ,0.920,H ,293.000,M ,84.000,H ,728.000,VH,0.200,D,0.840,S,16.260,S,0.960,S,5.900,S,0.500,D,potato
coonoor,5.200, HAc,0.840,N   ,0.600,M ,293.000,M ,121.000,VH,852.000,VH,5.000,D,0.940,S,12.000,S,0.840,S,6.140,S,0.900,S,potato
coonoor,5.000, HAc,0.380,N   ,0.360,L ,262.000,L ,44.000,M ,209.000,M ,5.000,D,0.960,S,18.200,S,2.080,S,6.150,S,0.500,D,potato
coonoor,4.900, HAc,0.210,N   ,1.100,VH,1414.500,VH,173.000,VH,481.600,H ,7.500,D,0.240,D,2.860,D,0.790,S,1.220,D,0.500,D,potato
coonoor,4.900, HAc,0.210,N   ,1.100,VH,1414.500,VH,173.000,VH,481.600,H ,7.500,D,0.240,D,2.860,D,0.790,S,1.220,D,0.500,D,potato
coonoor,4.900, HAc,0.240,N   ,0.850,H ,810.700,VH,136.000,VH,390.500,H ,7.500,D,0.720,S,0.590,D,1.080,S,0.740,D,0.500,D,potato
coonoor,4.900, HAc,0.240,N   ,0.850,H ,810.700,VH,136.000,VH,390.500,H ,7.500,D,0.720,S,0.590,D,1.080,S,0.740,D,0.500,D,potato
coonoor,4.900, HAc,0.070,N   ,0.900,H ,886.600,VH,74.000,H ,333.400,M ,7.500,D,0.530,D,2.420,D,0.400,S,2.400,S,0.200,D,potato
coonoor,4.900, HAc,0.070,N   ,0.900,H ,886.600,VH,74.000,H ,333.400,M ,7.500,D,0.530,D,2.420,D,0.400,S,2.400,S,0.200,D,potato
coonoor,4.900, HAc,0.220,N   ,0.150,VL,279.500,L ,198.000,VH,179.000,M ,87.500,S,0.480,D,18.320,S,0.680,S,3.150,S,0.560,S,potato
coonoor,4.900, HAc,0.220,N   ,0.150,VL,279.500,L ,198.000,VH,179.000,M ,87.500,S,0.480,D,18.320,S,0.680,S,3.150,S,0.560,S,potato
coonoor,5.100, HAc,0.050,N   ,0.150,VL,172.900,L ,7.000,VL,371.000,H ,5.000,D,0.100,D,2.170,D,0.540,S,2.100,S,0.700,S,potato
coonoor,5.160, HAc,0.157,N   ,1.070,VH,136.000,VL,140.000,VH,134.000,L ,8.000,D,0.112,D,0.021,D,0.111,D,0.022,D,0.440,D,potato
coonoor,5.360, HAc,0.151,N   ,1.200,VH,148.000,L ,24.000,M ,90.000,L ,9.000,D,0.000,D,0.000,D,0.000,D,0.000,D,0.270,D,potato
coonoor,5.170, HAc,0.108,N   ,1.670,VH,167.000,L ,71.000,H ,358.000,H ,7.000,D,0.780,S,22.000,S,3.160,S,0.430,D,0.270,D,potato
coonoor,5.400, HAc,0.109,N   ,1.700,VH,201.000,L ,65.000,H ,314.000,M ,7.000,D,0.820,S,5.880,S,3.550,S,0.910,D,0.430,D,potato
coonoor,5.100, HAc,0.370,N   ,0.900,H ,57.500,VL,52.000,M ,205.000,M ,13.000,S,0.960,S,45.150,S,0.960,S,6.160,S,12.000,S,potato
coonoor,5.000, HAc,0.370,N   ,0.750,M ,119.000,VL,22.000,L ,215.000,M ,13.000,S,0.960,S,15.260,S,0.820,S,6.220,S,12.000,S,potato
coonoor,5.200, HAc,0.000,N   ,,,,,,,,,,,,,,,,,,,,,potato
coonoor,5.400, HAc,0.110,N   ,0.630,M ,331.900,M ,167.900,VH,642.000,H ,20.000,S,0.910,S,14.870,S,5.700,S,0.960,D,0.900,S,potato
coonoor,5.000, HAc,0.140,N   ,0.710,M ,273.100,L ,321.000,VH,241.000,M ,12.500,S,0.190,D,7.160,S,0.470,S,1.220,D,0.200,D,potato
coonoor,5.200, HAc,0.130,N   ,0.680,M ,252.400,L ,222.000,VH,124.000,L ,12.500,S,0.430,D,4.600,S,0.460,S,0.940,D,0.200,D,potato
coonoor,5.200, HAc,0.140,N   ,0.490,L ,349.200,M ,247.000,VH,117.000,L ,7.500,D,0.490,D,5.220,S,0.200,D,1.100,D,0.500,D,potato
coonoor,5.200, HAc,0.140,N   ,0.450,L ,342.300,M ,296.000,VH,62.000,VL,12.500,S,1.600,S,5.100,S,0.200,D,2.260,S,0.200,D,potato
coonoor,5.200, HAc,0.050,N   ,0.870,H ,144.200,L ,74.000,H ,117.000,L ,7.500,D,0.700,S,4.960,S,0.560,S,0.980,D,0.200,D,potato
coonoor,5.000, HAc,0.050,N   ,0.760,H ,266.200,L ,173.000,VH,315.000,M ,7.500,D,0.660,S,5.120,S,0.160,D,0.940,D,0.200,D,potato
coonoor,5.000, HAc,0.110,N   ,0.870,H ,176.300,L ,25.000,M ,198.000,M ,7.500,D,0.950,S,1.840,D,0.240,S,1.220,D,0.200,D,potato
coonoor,4.800, HAc,0.120,N   ,0.600,M ,210.900,L ,49.000,M ,99.000,L ,7.500,D,1.190,S,0.980,D,0.180,D,1.240,D,7.500,S,potato
coonoor,4.800, HAc,0.060,N   ,0.490,L ,183.200,L ,99.000,VH,167.000,M ,7.500,D,1.220,S,0.980,D,0.180,D,1.240,D,0.500,D,potato
coonoor,5.300, HAc,0.060,N   ,0.610,M ,165.900,L ,12.000,L ,117.000,L ,7.500,D,0.400,D,3.640,D,0.940,S,5.260,S,0.500,D,potato
coonoor,5.140, HAc,0.060,N   ,0.800,H ,318.100,M ,12.000,L ,1130.000,VH,7.500,D,0.110,D,6.840,S,1.260,S,1.200,D,0.200,D,potato
coonoor,5.100, HAc,0.050,N   ,0.670,M ,297.300,M ,12.000,L ,877.000,VH,7.500,D,0.180,D,2.960,D,1.080,S,0.940,D,0.200,D,potato
coonoor,5.300, HAc,0.140,N   ,0.490,L ,235.100,L ,173.000,VH,550.000,H ,7.500,D,0.180,D,5.200,S,0.960,S,1.140,D,0.500,D,potato
coonoor,4.900, HAc,0.130,N   ,1.290,VH,172.900,L ,12.000,L ,580.000,H ,7.500,D,0.110,D,5.260,S,0.400,S,,,0.500,D,potato
coonoor,4.900, HAc,0.130,N   ,0.920,H ,318.100,M ,165.900,VH,49.000,VL,7.500,D,0.190,D,4.140,D,1.200,S,0.960,D,0.200,D,potato
coonoor,5.100, HAc,0.060,N   ,0.240,VL,197.100,L ,25.000,M ,296.000,M ,7.500,D,0.490,D,3.260,D,0.640,S,2.600,S,0.200,D,potato
coonoor,5.100, HAc,0.120,N   ,1.410,VH,235.100,L ,25.000,M ,519.000,H ,7.500,D,1.050,S,3.940,D,0.340,S,1.960,D,0.200,D,potato
coonoor,4.800, HAc,0.200,N   ,0.750,M ,864.500,VH,62.000,H ,259.300,M ,7.500,D,0.120,D,4.400,D,0.610,S,,,0.200,D,potato
coonoor,5.100, HAc,0.110,N   ,2.100,VH,962.500,VH,12.000,L ,370.500,H ,7.500,D,1.220,S,2.260,D,0.850,S,0.790,D,0.200,D,potato
coonoor,4.900, HAc,0.210,N   ,1.100,VH,1414.500,VH,173.000,VH,481.600,H ,7.500,D,0.240,D,2.860,D,0.790,S,1.220,D,0.500,D,potato
coonoor,4.900, HAc,0.210,N   ,1.100,VH,1414.500,VH,173.000,VH,481.600,H ,7.500,D,0.240,D,2.860,D,0.790,S,1.220,D,0.500,D,potato
coonoor,5.300, HAc,0.060,N   ,0.950,H ,886.600,VH,12.000,L ,160.500,M ,7.500,D,0.820,S,2.260,D,4.200,S,0.920,D,0.200,D,potato
coonoor,5.200, HAc,0.100,N   ,1.050,VH,1638.000,VH,37.000,M ,370.500,H ,7.500,D,0.280,D,3.520,D,0.260,S,2.440,S,0.200,D,potato
coonoor,4.800, HAc,0.200,N   ,1.130,VH,879.700,VH,136.000,VH,333.400,M ,7.500,D,0.640,S,2.840,D,1.030,S,1.260,D,0.200,D,potato
coonoor,4.900, HAc,0.240,N   ,0.850,H ,810.700,VH,136.000,VH,390.500,H ,7.500,D,0.720,S,0.590,D,1.080,S,0.740,D,0.500,D,potato
coonoor,4.900, HAc,0.240,N   ,0.850,H ,810.700,VH,136.000,VH,390.500,H ,7.500,D,0.720,S,0.590,D,1.080,S,0.740,D,0.500,D,potato
coonoor,4.900, HAc,0.090,N   ,0.550,M ,603.700,H ,37.000,M ,234.000,M ,7.500,D,0.340,D,2.620,D,0.770,S,0.190,D,0.500,D,potato
coonoor,4.900, HAc,0.070,N   ,0.900,H ,886.600,VH,74.000,H ,333.400,M ,7.500,D,0.530,D,2.420,D,0.400,S,2.400,S,0.200,D,potato
coonoor,4.900, HAc,0.070,N   ,0.900,H ,886.600,VH,74.000,H ,333.400,M ,7.500,D,0.530,D,2.420,D,0.400,S,2.400,S,0.200,D,potato
coonoor,5.000, HAc,0.110,N   ,0.950,H ,165.600,L ,195.000,VH,534.400,H ,12.500,S,0.640,S,1.190,D,0.520,S,12.120,S,0.200,D,potato
coonoor,4.800, HAc,0.130,N   ,1.100,VH,1086.700,VH,161.000,VH,296.400,M ,7.500,D,0.940,S,0.670,D,0.680,S,0.200,D,0.200,D,potato
coonoor,5.200, HAc,0.090,N   ,0.550,M ,1093.600,VH,74.000,H ,234.600,M ,12.500,S,0.940,S,1.820,D,0.640,S,0.940,D,0.200,D,potato
coonoor,5.400, HAc,0.100,N   ,0.950,H ,1362.700,VH,74.000,H ,253.100,M ,7.500,D,0.640,S,1.940,D,0.720,S,1.030,D,0.500,D,potato
coonoor,5.400, HAc,0.090,N   ,0.950,H ,1362.700,VH,74.000,H ,253.100,M ,7.500,D,0.640,S,1.940,D,0.720,S,1.030,D,0.500,D,potato
coonoor,4.800, HAc,0.090,N   ,0.900,H ,1224.700,VH,49.000,M ,395.000,H ,7.500,D,0.480,D,2.850,D,2.400,S,0.820,D,0.200,D,potato
coonoor,4.800, HAc,0.090,N   ,0.900,H ,1224.700,VH,49.000,M ,395.000,H ,7.500,D,0.480,D,2.840,D,2.400,S,0.820,D,0.200,D,potato
coonoor,4.800, HAc,0.170,N   ,0.810,H ,897.000,VH,124.000,VH,593.000,H ,7.500,D,1.720,S,2.050,D,0.320,S,2.750,S,0.500,D,potato
coonoor,4.800, HAc,0.170,N   ,0.810,H ,897.000,VH,124.000,VH,593.000,H ,7.500,D,1.720,S,2.050,D,0.320,S,2.750,S,0.500,D,potato
coonoor,5.000, HAc,0.160,N   ,0.660,M ,893.000,VH,99.000,VH,834.000,VH,7.500,D,0.510,D,1.860,D,0.400,S,5.200,S,0.200,D,potato
coonoor,5.000, HAc,0.160,N   ,0.660,M ,893.000,VH,99.000,VH,834.000,VH,7.500,D,1.680,S,1.140,D,2.240,S,0.490,D,0.200,D,potato
coonoor,5.000, HAc,0.790,N   ,0.960,H ,612.000,H ,25.000,M ,1235.000,VH,7.500,D,1.300,S,4.490,D,0.710,S,1.530,D,0.200,D,potato
coonoor,5.200, HAc,0.250,N   ,1.080,VH,625.800,H ,25.000,M ,1235.000,VH,7.500,D,0.520,D,1.460,D,0.360,S,1.640,D,0.200,D,potato
coonoor,5.100, HAc,0.620,N   ,0.900,H ,688.100,H ,74.000,H ,1130.000,VH,7.500,D,1.260,S,1.480,D,0.540,S,1.880,D,0.200,D,potato
coonoor,5.000, HAc,0.040,N   ,0.840,H ,817.500,VH,99.000,VH,877.000,VH,7.500,D,0.190,D,3.120,D,0.240,S,1.240,D,0.200,D,potato
coonoor,5.400, HAc,0.020,N   ,1.250,VH,646.600,H ,124.000,VH,550.000,H ,7.500,D,0.990,S,2.310,D,0.220,S,1.240,D,0.200,D,potato
coonoor,5.000, HAc,0.030,N   ,0.020,VL,957.300,VH,173.000,VH,803.000,VH,7.500,D,0.640,S,3.100,D,2.080,S,5.220,S,0.500,D,potato
coonoor,5.300, HAc,0.370,N   ,1.080,VH,658.900,H ,99.000,VH,778.000,VH,7.500,D,0.640,S,0.620,D,0.250,S,1.240,D,0.200,D,potato
coonoor,5.300, HAc,0.350,N   ,0.020,VL,686.500,H ,74.000,H ,605.000,H ,7.500,D,0.740,S,1.030,D,0.610,S,1.580,D,0.200,D,potato
coonoor,5.300, HAc,0.300,N   ,0.180,VL,900.400,VH,49.000,M ,902.000,VH,7.500,D,0.640,S,3.260,D,0.240,S,1.700,D,0.560,S,potato
coonoor,5.300, HAc,0.290,N   ,0.540,M ,1062.600,VH,25.000,M ,692.000,VH,7.500,D,0.280,D,2.900,D,0.200,D,1.840,D,0.200,D,potato
